$VNIMU,-00.1290,-00.5760,+00.4322,+00.900,+00.335,-09.803,-00.008981,-00.000511,+00.001998,+32.3,+099.407*64
$VNIMU,-00.1290,-00.5760,+00.4322,+00.900,+00.335,-09.803,-00.008981,-00.000511,+00.001998,+32.3,+099.407*64
$VNIMU,-00.1290,-00.5760,+00.4322,+00.900,+00.335,-09.803,-00.008981,-00.000511,+00.001998,+32.3,+099.407*64
$VNIMU,-00.1290,-00.5760,+00.4322,+00.900,+00.335,-09.803,-00.008981,-00.000511,+00.001998,+32.3,+099.407*64
$VNIMU,-00.1290,-00.5760,+00.4322,+00.900,+00.335,-09.803,-00.008981,-00.000511,+00.001998,+32.3,+099.407*64
$VNIMU,-00.1290,-00.5760,+00.4322,+00.900,+00.335,-09.803,-00.008981,-00.000511,+00.001998,+32.3,+099.407*64
$VNIMU,-00.1290,-00.5760,+00.4322,+00.900,+00.335,-09.803,-00.008981,-00.000511,+00.001998,+32.3,+099.407*64
$VNIMU,-00.1290,-00.5760,+00.4322,+00.900,+00.335,-09.803,-00.008981,-00.000511,+00.001998,+32.3,+099.407*64
$VNIMU,-00.1290,-00.5760,+00.4322,+00.900,+00.335,-09.803,-00.008981,-00.000511,+00.001998,+32.3,+099.407*64
$VNIMU,-00.1290,-00.5760,+00.4322,+00.900,+00.335,-09.803,-00.008981,-00.000511,+00.001998,+32.3,+099.407*64
$VNIMU,-00.1290,-00.5760,+00.4322,+00.900,+00.335,-09.803,-00.008981,-00.000511,+00.001998,+32.3,+099.407*64
$VNIMU,-00.1290,-00.5760,+00.4322,+00.900,+00.335,-09.803,-00.008981,-00.000511,+00.001998,+32.3,+099.407*64
$VNIMU,-00.1290,-00.5760,+00.4322,+00.900,+00.335,-09.803,-00.008981,-00.000511,+00.001998,+32.3,+099.407*64
$VNIMU,-00.1290,-00.5760,+00.4322,+00.900,+00.335,-09.803,-00.008981,-00.000511,+00.001998,+32.3,+099.407*64
$VNIMU,-00.1290,-00.5760,+00.4322,+00.900,+00.335,-09.803,-00.008981,-00.000511,+00.001998,+32.3,+099.407*64
$VNIMU,-00.1290,-00.5760,+00.4322,+00.900,+00.335,-09.803,-00.008981,-00.000511,+00.001998,+32.3,+099.407*64
$VNIMU,-00.1290,-00.5760,+00.4322,+00.900,+00.335,-09.803,-00.008981,-00.000511,+00.001998,+32.3,+099.407*64
$VNIMU,-00.1290,-00.5760,+00.4322,+00.900,+00.335,-09.803,-00.008981,-00.000511,+00.001998,+32.3,+099.407*64
$VNIMU,-00.1290,-00.5760,+00.4322,+00.900,+00.335,-09.803,-00.008981,-00.000511,+00.001998,+32.3,+099.407*64
$VNIMU,-00.1290,-00.5760,+00.4322,+00.900,+00.335,-09.803,-00.008981,-00.000511,+00.001998,+32.3,+099.407*64
$VNIMU,-00.1290,-00.5760,+00.4322,+00.900,+00.335,-09.803,-00.008981,-00.000511,+00.001998,+32.3,+099.407*64
$VNIMU,-00.1290,-00.5760,+00.4322,+00.900,+00.335,-09.803,-00.008981,-00.000511,+00.001998,+32.3,+099.407*64
$VNIMU,-00.1290,-00.5760,+00.4322,+00.900,+00.335,-09.803,-00.008981,-00.000511,+00.001998,+32.3,+099.407*64
$VNIMU,-00.1290,-00.5760,+00.4322,+00.900,+00.335,-09.803,-00.008981,-00.000511,+00.001998,+32.3,+099.407*64
$VNIMU,-00.1290,-00.5760,+00.4322,+00.900,+00.335,-09.803,-00.008981,-00.000511,+00.001998,+32.3,+099.407*64
$VNIMU,-00.1290,-00.5760,+00.4322,+00.900,+00.335,-09.803,-00.008981,-00.000511,+00.001998,+32.3,+099.407*64
$VNIMU,-00.1290,-00.5760,+00.4322,+00.900,+00.335,-09.803,-00.008981,-00.000511,+00.001998,+32.3,+099.407*64
$VNIMU,-00.1290,-00.5760,+00.4322,+00.900,+00.335,-09.803,-00.008981,-00.000511,+00.001998,+32.3,+099.407*64
$VNIMU,-00.1290,-00.5760,+00.4322,+00.900,+00.335,-09.803,-00.008981,-00.000511,+00.001998,+32.3,+099.407*64
$VNIMU,-00.1290,-00.5760,+00.4322,+00.900,+00.335,-09.803,-00.008981,-00.000511,+00.001998,+32.3,+099.407*64
$VNIMU,-00.1290,-00.5760,+00.4322,+00.900,+00.335,-09.803,-00.008981,-00.000511,+00.001998,+32.3,+099.407*64
$VNIMU,-00.1290,-00.5760,+00.4322,+00.900,+00.335,-09.803,-00.008981,-00.000511,+00.001998,+32.3,+099.407*64
$VNIMU,-00.1290,-00.5760,+00.4322,+00.900,+00.335,-09.803,-00.008981,-00.000511,+00.001998,+32.3,+099.407*64
$VNIMU,-00.1290,-00.5760,+00.4322,+00.900,+00.335,-09.803,-00.008981,-00.000511,+00.001998,+32.3,+099.407*64
$VNIMU,-00.1290,-00.5760,+00.4322,+00.900,+00.335,-09.803,-00.008981,-00.000511,+00.001998,+32.3,+099.407*64
$VNIMU,-00.1290,-00.5760,+00.4322,+00.900,+00.335,-09.803,-00.008981,-00.000511,+00.001998,+32.3,+099.407*64
$VNIMU,-00.1290,-00.5760,+00.4322,+00.900,+00.335,-09.803,-00.008981,-00.000511,+00.001998,+32.3,+099.407*64
$VNIMU,-00.1290,-00.5760,+00.4322,+00.900,+00.335,-09.803,-00.008981,-00.000511,+00.001998,+32.3,+099.407*64
$VNIMU,-00.1290,-00.5760,+00.4322,+00.900,+00.335,-09.803,-00.008981,-00.000511,+00.001998,+32.3,+099.407*64
$VNIMU,-00.1290,-00.5760,+00.4322,+00.900,+00.335,-09.803,-00.008981,-00.000511,+00.001998,+32.3,+099.407*64
